,Neighbourhood,Cultural Location Index,Longitude,Latitude
0,West Humber-Clairville,0.09,-79.59703850234453,43.7225629
1,Mount Olive-Silverstone-Jamestown,0.13,-89.8731386,34.9490443
2,Thistletown-Beaumond Heights,0.2,,
3,Rexdale-Kipling,0.07,-79.57229244708017,43.722114149999996
4,Elms-Old Rexdale,0.11,-79.55217331972301,43.72176985
5,Kingsview Village-The Westway,0.15,,
6,Willowridge-Martingrove-Richview,0.2,,
7,Humber Heights-Westmount,0.22,-79.5212217,43.6977767
8,Edenbridge-Humber Valley,0.43,-79.5219478,43.6700149
9,Princess-Rosethorn,0.37,,
10,Eringate-Centennial-West Deane,0.27,,
11,Markland Wood,0.18,-2.4818163495313192,53.5783523
12,Etobicoke West Mall,0.33,-79.5636056,43.6190261
13,Islington-City Centre West,0.53,-2.6058535,51.4451882
14,Kingsway South,0.45,-1.6138678,54.9236684
15,Stonegate-Queensway,0.51,-79.5234993,43.62195
16,Mimico,0.61,-79.4968048,43.6166773
17,New Toronto,0.51,-79.505264,43.6007625
18,Long Branch,0.4,-73.9923596,40.3042778
19,Alderwood,0.33,-79.5452325,43.6017173
20,Humber Summit,0.13,-79.5717598,43.7600778
21,Humbermede,0.18,,
22,Pelmo Park-Humberlea,0.3,,
23,Black Creek,0.28,-88.4506568,44.4774856
24,Glenfield-Jane Heights,0.17,-52.8420152,47.5403364
25,Downsview-Roding-CFB,0.35,,
26,York University Heights,0.3,-73.9135154,40.8618406
27,Rustic,0.29,-105.5817164,40.6987671
28,Maple Leaf,0.09,-79.4901977,43.7122767
29,Brookhaven-Amesbury,0.2,,
30,Yorkdale-Glen Park,0.19,-79.45291835752212,43.703434
31,Englemount-Lawrence,0.28,-79.4356957,43.710813
32,Clanton Park,0.19,-80.8861425,35.2097068
33,Bathurst Manor,0.52,-79.45636693710946,43.76389295
34,Westminster-Branson,0.53,,
35,Newtonbrook West,0.31,-79.4130896,43.795986
36,Willowdale West,0.59,-79.4109234,43.7615095
37,Lansing-Westgate,0.54,-121.8762599,39.751904
